name	is_annotated	is_self_targeting	f_directon_gene_lengths_mean	f_length_raw	f_unique_gene_annotated_fraction_raw	f_hydrophobicity_raw	is_hth	f_directon_size_raw
ASEQ_ID_20200	TRUE	FALSE	288.5	143	1	0.164335664	FALSE	2
ASEQ_ID_20201	TRUE	FALSE	436	436	1	-0.157110092	FALSE	1
ASEQ_ID_20202	FALSE	FALSE	96	96	0	-0.569791667	FALSE	1
ASEQ_ID_20207	TRUE	FALSE	302	561	0.5	-0.348663102	FALSE	2
ASEQ_ID_20208	FALSE	FALSE	302	43	0.5	0.151162791	FALSE	2
ASEQ_ID_20209	TRUE	FALSE	465	477	1	-0.490775681	FALSE	2
ASEQ_ID_20210	TRUE	FALSE	465	453	1	-0.158057395	FALSE	2
ASEQ_ID_20211	TRUE	FALSE	1225	1225	1	-0.23755102	TRUE	1
ASEQ_ID_20212	TRUE	FALSE	425.2	128	1	-0.54375	FALSE	5
ASEQ_ID_20213	TRUE	FALSE	425.2	875	1	-0.236228571	FALSE	5
ASEQ_ID_20214	TRUE	FALSE	425.2	729	1	-0.440740741	FALSE	5
ASEQ_ID_20215	TRUE	FALSE	425.2	306	1	-0.467320261	FALSE	5
ASEQ_ID_20216	TRUE	FALSE	425.2	88	1	-0.145454545	FALSE	5
ASEQ_ID_20217	TRUE	FALSE	211	211	1	-0.294312796	TRUE	1
ASEQ_ID_20218	TRUE	FALSE	94	94	1	-0.171276596	FALSE	1
ASEQ_ID_20219	TRUE	FALSE	400	472	1	-0.081779661	FALSE	2
ASEQ_ID_20220	TRUE	FALSE	400	328	1	-0.168597561	FALSE	2
ASEQ_ID_20221	TRUE	FALSE	405.2	214	0.8	-0.261682243	FALSE	5
ASEQ_ID_20222	TRUE	FALSE	405.2	1061	0.8	-0.514231857	FALSE	5
ASEQ_ID_20223	TRUE	FALSE	405.2	408	0.8	-0.32622549	FALSE	5
ASEQ_ID_20224	FALSE	FALSE	405.2	170	0.8	-0.063529412	FALSE	5
ASEQ_ID_20225	TRUE	FALSE	405.2	173	0.8	-0.377456647	FALSE	5
ASEQ_ID_20226	TRUE	FALSE	171.25	193	0.75	-0.424870466	TRUE	4
ASEQ_ID_20227	TRUE	FALSE	171.25	140	0.75	-0.365714286	FALSE	4
ASEQ_ID_20228	FALSE	FALSE	171.25	221	0.75	-0.057466063	FALSE	4
ASEQ_ID_20229	TRUE	FALSE	171.25	131	0.75	-0.015267176	FALSE	4
ASEQ_ID_20230	TRUE	FALSE	185.8333333	191	1	-0.748167539	TRUE	6
ASEQ_ID_20231	TRUE	FALSE	185.8333333	200	1	1.12	TRUE	6
ASEQ_ID_20232	TRUE	FALSE	185.8333333	117	1	-0.416239316	TRUE	6
ASEQ_ID_20233	TRUE	FALSE	185.8333333	450	1	-0.286666667	FALSE	6
ASEQ_ID_20234	TRUE	FALSE	185.8333333	81	1	-0.566666667	FALSE	6
ASEQ_ID_20235	TRUE	FALSE	185.8333333	76	1	-0.089473684	FALSE	6
ASEQ_ID_20236	TRUE	FALSE	212	174	1	-0.22816092	FALSE	2
ASEQ_ID_20237	TRUE	FALSE	212	250	1	-0.432	FALSE	2
ASEQ_ID_20238	TRUE	FALSE	177	177	1	-0.381355932	FALSE	1
ASEQ_ID_20239	TRUE	FALSE	447.5	858	0.5	-0.168764569	FALSE	2
ASEQ_ID_20240	FALSE	FALSE	447.5	37	0.5	-0.532432432	FALSE	2
ASEQ_ID_20241	FALSE	FALSE	290.6	248	0.8	-0.393951613	FALSE	5
ASEQ_ID_20242	TRUE	FALSE	290.6	100	0.8	-0.365	FALSE	5
ASEQ_ID_20243	TRUE	FALSE	290.6	153	0.8	-0.31503268	FALSE	5
ASEQ_ID_20244	TRUE	FALSE	290.6	553	0.8	0.252622061	FALSE	5
ASEQ_ID_20245	TRUE	FALSE	290.6	399	0.8	-0.240350877	FALSE	5
