name	y	weight	is_annotated	is_self_targeting	f_directon_gene_lengths_mean	f_length_raw	f_unique_gene_annotated_fraction_raw	f_hydrophobicity_raw	is_hth	f_directon_size_raw
ASEQ_ID_20032	-1	0.672457321	FALSE	FALSE	102	102	0	-0.304901961	FALSE	1
ASEQ_ID_20033	-1	0.312735313	TRUE	FALSE	339	339	1	-0.526843658	FALSE	1
ASEQ_ID_20034	-1	0.197511837	FALSE	FALSE	333.3333333	40	0.666666667	-0.32	TRUE	3
ASEQ_ID_20035	-1	0.509707153	TRUE	FALSE	333.3333333	595	0.666666667	-0.379327731	TRUE	3
ASEQ_ID_20036	-1	0.104667288	TRUE	FALSE	333.3333333	365	0.666666667	-0.453424658	TRUE	3
ASEQ_ID_20037	-1	0.067719194	TRUE	FALSE	73	73	1	-1.046575342	FALSE	1
ASEQ_ID_20038	-1	0.259600909	TRUE	FALSE	221	221	1	0.049321267	TRUE	1
ASEQ_ID_20041	-1	0.386961929	FALSE	FALSE	65	65	0	-0.250769231	FALSE	1
ASEQ_ID_20042	-1	0.683372831	TRUE	FALSE	299	230	1	-0.157826087	FALSE	2
ASEQ_ID_20043	-1	0.490984593	TRUE	FALSE	299	368	1	-0.11875	FALSE	2
ASEQ_ID_20044	-1	0.109736657	TRUE	FALSE	231.25	409	1	-0.280684597	FALSE	4
ASEQ_ID_20045	-1	0.403203086	TRUE	FALSE	231.25	72	1	-0.127777778	FALSE	4
ASEQ_ID_20046	-1	0.222787761	TRUE	FALSE	231.25	185	1	-0.018378378	FALSE	4
ASEQ_ID_20047	-1	0.543110482	TRUE	FALSE	231.25	259	1	-0.116988417	FALSE	4
ASEQ_ID_20048	-1	0.772684714	FALSE	FALSE	188.8	155	0.6	-0.413548387	FALSE	5
ASEQ_ID_20049	-1	0.69081444	TRUE	FALSE	188.8	229	0.6	-0.363318777	FALSE	5
ASEQ_ID_20050	-1	0.176645403	FALSE	FALSE	188.8	214	0.6	-0.430373832	FALSE	5
ASEQ_ID_20051	-1	0.993649297	TRUE	FALSE	188.8	200	0.6	0.1115	FALSE	5
ASEQ_ID_20052	-1	0.739266005	TRUE	FALSE	188.8	146	0.6	-0.350684932	FALSE	5
ASEQ_ID_20053	-1	0.578403395	FALSE	FALSE	230.6666667	239	0.666666667	-0.263598326	FALSE	3
ASEQ_ID_20054	-1	0.14360938	TRUE	FALSE	230.6666667	161	0.666666667	-0.398757764	FALSE	3
ASEQ_ID_20055	-1	0.664913389	TRUE	FALSE	230.6666667	292	0.666666667	-0.674315068	FALSE	3
ASEQ_ID_20056	-1	0.244903569	FALSE	FALSE	127	136	0	-0.322058824	FALSE	8
ASEQ_ID_20057	-1	0.864156855	FALSE	FALSE	127	176	0	-0.411931818	FALSE	8
ASEQ_ID_20058	-1	0.420552251	FALSE	FALSE	127	122	0	-0.478688525	FALSE	8
ASEQ_ID_20059	-1	0.661672584	FALSE	FALSE	127	112	0	-0.694642857	FALSE	8
ASEQ_ID_20060	-1	0.699219357	FALSE	FALSE	127	58	0	-0.015517241	FALSE	8
ASEQ_ID_20061	-1	0.707891556	FALSE	FALSE	127	86	0	-0.246511628	FALSE	8
ASEQ_ID_20062	-1	0.898856157	FALSE	FALSE	127	129	0	-0.828682171	FALSE	8
ASEQ_ID_20063	-1	0.135795277	FALSE	FALSE	127	197	0	-0.428426396	FALSE	8
ASEQ_ID_20064	-1	0.072638249	FALSE	FALSE	42	42	0	0.557142857	FALSE	1
ASEQ_ID_20065	-1	0.807569492	FALSE	FALSE	115	106	0.5	-0.428301887	FALSE	2
ASEQ_ID_20066	-1	0.460928944	TRUE	FALSE	115	124	0.5	-0.237903226	FALSE	2
ASEQ_ID_20067	-1	0.707394128	TRUE	FALSE	541	541	1	-0.547689464	FALSE	1
ASEQ_ID_20068	-1	0.243248549	FALSE	FALSE	160.5	122	0.375	-0.274590164	FALSE	8
ASEQ_ID_20069	-1	0.467228732	FALSE	FALSE	160.5	106	0.375	-0.420754717	FALSE	8
ASEQ_ID_20070	-1	0.901807897	FALSE	FALSE	160.5	56	0.375	-0.675	FALSE	8
ASEQ_ID_20071	-1	0.499397089	TRUE	FALSE	160.5	334	0.375	-0.464670659	FALSE	8
ASEQ_ID_20072	-1	0.901649408	TRUE	FALSE	160.5	221	0.375	-0.138461538	FALSE	8
ASEQ_ID_20073	-1	0.611591222	FALSE	FALSE	160.5	143	0.375	-0.288811189	FALSE	8
ASEQ_ID_20074	-1	0.354447018	TRUE	FALSE	160.5	170	0.375	-0.538823529	FALSE	8
ASEQ_ID_20075	-1	0.990702653	FALSE	FALSE	160.5	132	0.375	-0.214393939	FALSE	8
ASEQ_ID_20076	-1	0.308433691	FALSE	FALSE	138	138	0	-0.213043478	FALSE	1
ASEQ_ID_20077	-1	0.076254321	FALSE	FALSE	122	122	0	-0.098360656	FALSE	1
ASEQ_ID_20078	-1	0.884561534	FALSE	FALSE	111	111	0	-0.504504505	FALSE	1
ASEQ_ID_20079	-1	0.968780998	FALSE	FALSE	172.5	139	0.25	0.01942446	FALSE	4
